Tooltip_EN = {

	Tooltip_Quince foot 									= " It is a typical Argentine quince tart for breakfast or an afternoon snack.",
	Tooltip_Tortitanegra									= " Black pancakes are small breads with brown sugar on the surface. They are also bought in cafes, as are other varieties. They are called facturas.",
	Tooltip_PizzaMozzarella									= " Pizza has become a staple for gatherings with friends to watch football matches or for family birthdays, accompanied by a cold beer.",
	Tooltip_PizzaNapo										= " Sliced ​​tomato pizza, with garlic, freshly chopped parsley and olive oil, is one of the most requested in Argentine pizza restaurants.",
	Tooltip_PizzaJamonM										= " It is a typical pizza with cooked ham and peppers roasted in oil. A good beer is a must to accompany this delicacy.",
	Tooltip_PizzaFugazzeta									= " Fugazzeta pizza with cheese is widely consumed in old pizza places in the country during free lunch times.",
	Tooltip_PizzaFugazza									= " Fugazzeta pizza is widely consumed in old pizza places in the country during free lunch times.",
	Tooltip_PizzaAmericana									= " American pizza, a cholesterol bomb but loved by many, contains French fries, fried eggs, crispy bacon and fresh chopped parsley, it is expensive but worth it.",
	Tooltip_PizzaCalabresa									= " A pizza very similar to pepperoni pizza but with a different spiciness, it is prepared in two versions with and without pickled peppers.",
	Tooltip_ACS												= " Meatballs with sauce are used to prepare various dishes, both Italian and around the world.",
	Tooltip_PuredePapas										= " Mashed potatoes are often consumed with several typical dishes from Argentina and other countries.",
	Tooltip_DulcedeMembrillo								= " Quince paste is used to prepare recipes on national holidays.",
	Tooltip_DulcedeBatata									= " Sweet potato jam is used to prepare recipes for national holidays.",
	Tooltip_DulcedeLecheV									= " Used by pastry chefs to make the best alfajores and typical desserts of the country Used by pastry chefs to make the best alfajores and typical desserts of the country.",
	Tooltip_BowlFlanCasero									= " It cannot be missed after every meal, it can be consumed with cream and Caramel Sauce.",
	Tooltip_LocroCaseroPot									= " One of the best typical dishes, several lines form on holidays to buy a portion of this typical Argentine dish.",
	Tooltip_FrenchFries										= " French fries are used to accompany various dishes, such as meats and hamburgers.",
	Tooltip_ChorizoColorado									= " Used for recipes with high amounts of calories such as homemade Locro and other stews.",
	Tooltip_EsenciaVainilla									= " Vanilla essence is used by master pastry chefs to give a rich flavor to preparations.",
	Tooltip_TodoCaserito.TortillaCasera	                    = " Homemade tortilla Ideal to accompany breakfasts or snacks with a good cup of tea or mate cooked with yerba mate.",
	Tooltip_TodoCaserito.SaucepanChorizoPomarola	        = " Sausage with tomato, It can be eaten with mashed potatoes or in sandwiches with bread during national holidays.",
	Tooltip_TodoCaserito.PastafrolaVacalin                  = " It is a typical Argentine dulce de leche cake for breakfast or a snack."
	Tooltip_TodoCaserito.ChorizosPackage                    = " Made with pork or beef, especially for gatherings with friends and national holidays and to create the famous choripan to enjoy with various soccer stadium sauces.",
	Tooltip_TodoCaserito.Panchuque 						    = "Typical of northern Argentina, it is widely consumed in clubs and music festivals.",
	Tooltip_TodoCaserito.SaucepanGuisoDLentejas				= " Special to combat cold climates and warm the stomach, very nutritious based on vegetables and meat.",
	Tooltip_TodoCaserito.BowlPasteldPapas                   = "Potato cake is a food that is eaten at any time of the year because it satisfies the appetite.",
	Tooltip_TodoCaserito.Sp_RellenoCarne                    = "One of the best fillings for different dishes based on potatoes or meat empanadas or to accompany with bread.",
	Tooltip_TodoCaserito.BowlAlbonconpure                   = "If you are looking for a dish that feeds your happiness and gives you a good nap, this is one.",
	Tooltip_TodoCaserito.SalsaCaramel                       = "Caramel sauce or liquid caramel is used to cover various pastry preparations and also for caramelized apples.",
	Tooltip_TodoCaserito.ManzanaCP							= "Caramel apples and popcorn were a staple of the 90s culture in the plazas and on holidays.",			
	Tooltip_TodoCaserito.EmpanadaMondongo					= "Mondongo empanadas are one of the best-known dishes in the north of Argentina, as well as in the surrounding areas, based on mongongo.",
	Tooltip_TodoCaserito.TortillaEspinacas					= "Ideal for quick lunches, based on spinach, it is a food with a great energy contribution, as the great Popeye the Sailor would say, a great consumer of spinach.",
	Tooltip_TodoCaserito.ChoripanArg						= "The king of kings, the Argentine Choripan.",
	Tooltip_TodoCaserito.Tripas								= "Animal casings are used for the preparation of salami, pork cheese, sausages, blood sausage and all kinds of salami.",
	Tooltip_TodoCaserito.Higado								= "One of the foods with excellent source of protein can be used for the famous Liver Pate.",
	Tooltip_TodoCaserito.ChurrascoHigado					= "The liver steak or churrasco can be accompanied with other preparations such as mashed potatoes or the famous scrambled eggs with liver, eggs, sliced potatoes and onions.",
	Tooltip_TodoCaserito.Churro								= "Mate's best friend on the weekends, there's no time for some mates with homemade churros.",
	Tooltip_TodoCaserito.GrasaAnimal						= "Used for various recipes and fried foods, such as fried empanadas, homemade bread, tortillas, empanada covers and many more recipes.", 
	Tooltip_TodoCaserito.Grasa_ChicharronPot				= "A pot with melted fat from which you can obtain pork rinds and animal fat in bars or melted for many preparations.",
	Tooltip_TodoCaserito.ManzanaSlices						= "Apple cut into wedges for making apple pies and decorating sweet pastries.",
	Tooltip_TodoCaserito.TartadeManzana						= " Apples are used to decorate this caramel upside-down apple cake..",
	Tooltip_TodoCaserito.PanDulce							= " Widely consumed at Christmas and New Year's at the time of the toast.",
	Tooltip_TodoCaserito.TacosdeCarne						= " Meat Tacos like in Mexico, made with meat, beans, and spicy vegetables.",
	Tooltip_TodoCaserito.TacosdePollo						= " Chicken Tacos like in Mexico, made with spicy poultry, beans, and vegetables..",
	Tooltip_TodoCaserito.TacosdeCerdo						= " Pork Tacos like in Mexico, made with pork, beans, and spicy vegetables..",
	Tooltip_TodoCaserito.BowlRellenoBurritos				= " Filling for Burritos with meat, beans, onions, and ingredients that can't be missed.",
	Tooltip_TodoCaserito.BurritoCasero						= " Ideal for a good quick lunch and dinner with meat and other ingredients rich and tasty homemade burritos.",
	Tooltip_TodoCaserito.Cremona							= " Another good companion for mate or a cup of tea, the Cremona is widely consumed in Argentina..",
	Tooltip_TodoCaserito.RoastBeef 							= "Roast beef is very commonly used for stews, meat fillings, and hamburgers in Argentina. It is very tender.",
	Tooltip_TodoCaserito.RellenoMorcillaCasera 				= "The preparation of the morcilla filling is made with animal blood and other ingredients for various types of blood sausage.",
	Tooltip_TodoCaserito.MorcillaCasera 					= "Used for various dishes, such as risotto, various dishes, and also the famous blood sausage sandwich, Morcipan.",
	Tooltip_TodoCaserito.Morcipan 							= "One of Argentina's favorite sandwiches, the Morcipan, a companion to the Argentine Choripan, consumed by many.",
	Tooltip_TodoCaserito.Vacio 								= "Vacio is one of the juiciest meats for both sandwiches and for barbecue. It is cooked over low heat to retain its juices.",
	Tooltip_TodoCaserito.VacioCortado 						= "This cut can be accompanied with baked potatoes, French fries, or even with mashed potatoes and salads, which is widely consumed in Argentine grills.",
	Tooltip_TodoCaserito.Vacipan 							= "The weakness of many motorcycle workers, taxi drivers, and truck drivers, especially in soccer clubs or stadiums.",
	Tooltip_TodoCaserito.PorcionPizzaMozzarella				= "Portion Pizza with tomato sauce, mozzarella, oregano, and fresh olives, ideal for gatherings with friends and watching a soccer game..",				
	Tooltip_TodoCaserito.PorcionPizzaNapo					= "Portion Tomato sauce pizza, mozzarella, fresh tomato slices and a special oil sauce, chopped garlic and fresh chopped parsley.",
	Tooltip_TodoCaserito.PorcionPizzaJamonM					= "Portion a pizza with ham, red bell peppers, and fresh olives, widely consumed in Argentina, accompanied by a good cold beer..",
	Tooltip_TodoCaserito.PorcionPizzaFugazzeta				= "A slice of onion and mozzarella pizza, widely consumed in bars in the capital of Buenos Aires, Argentina, accompanied by a good cold beer..",
	Tooltip_TodoCaserito.PorcionPizzaFugazza				= "A slice of onion pizza, widely consumed in bars in the capital of Buenos Aires, Argentina, accompanied by a good cold beer..",
	Tooltip_TodoCaserito.PorcionPizzaAmericana				= "A slice of pizza with French fries on a stick, fried eggs, crispy bacon, and freshly chopped parsley—a true pizza madness..",
	Tooltip_TodoCaserito.PorcionPizzaCalabresa				= "A slice of pizza with spicy Calabrese, ideal for consuming with beer or a Coca-Cola soft drink with ice..",	
	Tooltip_TodoCaserito.PorcionPastafrolaMembrillo			= "A slice of fresh quince tart, highly requested in bakeries and also confectioneries.",
	Tooltip_TodoCaserito.PorcionPastafrolaBatata			= "Portion of fresh sweet potato pie, highly requested in bakeries and also confectioneries.",	
	Tooltip_TodoCaserito.PorcionPastafrolaVacalin			= "Portion of fresh Caramel Sauce pie, highly requested in bakeries and also confectioneries.",
	Tooltip_TodoCaserito.PorcionTartadeManzana				= "Portion of fresh apple pie, highly requested in bakeries and also confectioneries.",

}
